perguntas,b,a,c,d,e,tipo,resposta
"Normalmente, quantos litros de sangue uma pessoa tem? Em media, quantos sao retirados numa doacao de sangue?",Tem entre 4 a 6 litros. São retirados 450 mililitros,Tem entre 2 a 4 litros. Sao retirados 450 mililitros,Tem 10 litros. Sao retirados 2 litros,"Tem 7 litros. Sao retirados 1,5 litros","Tem 0,5 litros. Sao retirados 0,5 litros",natureza,b
"De quem eh a famosa frase “Penso, logo existo”?",Galileu Galilei,Platao,Descartes,Socrates,Francis Bacon,humanas,c
De onde eh a invenção do chuveiro eletrico?,Inglaterra,Franca,Brasil,Australia,Italia,humanas,c
Quais o menor e o maior pais do mundo?,Nauru e China,Vaticano e Rússia,Monaco e Canada,Malta e Estados Unidos,Sao Marino e India,humanas,a
Qual o nome do presidente do Brasil que ficou conhecido como Jango?,Jacinto Anjos,Janio Quadros,Getulio Vargas,Joao Figueiredo,Joao Goulart,humanas,e
Qual o grupo em que todas as palavras foram escritas corretamente?,"Asterisco, beneficente, meteorologia, entretido","Asteristico, beneficiente, meteorologia, entertido","Asterisco, beneficente, metereologia, entretido","Asteristico, beneficiente, metereologia, entretido","Asterisco, beneficiente, metereologia, entretido",humanas,b
Qual o livro mais vendido no mundo a seguir a Biblia?,Dom Quixote,O Senhor dos Aneis,O Pequeno Principe,"Ela, a Feiticeira",Um Conto de Duas Cidades,humanas,b
Quantas casas decimais tem o numero pi?,Centenas,Duas,Trilhares,Vinte,Milhares,matematica,c
"Atualmente, quantos elementos quimicos a tabela periodica possui?",109,113,108,118,92,natureza,d
Quais os paises que tem a maior e a menor expectativa de vida do mundo?,Australia e Afeganistao,Japao e Serra Leoa,Italia e Chade,Brasil e Congo,Estados Unidos e Angola,humanas,a
O que a palavra legend significa em portugues?,Conto,Legenda,Historia,Lenda,Legendario,linguagens,d
Qual o numero minimo de jogadores numa partida de futebol?(por time),11,13,15,12,14,linguagens,e
Quais os principais autores do Barroco no Brasil?,"Miguel de Cervantes, Gregorio de Matos e Danthe Alighieri","Gregorio de Matos, Bento Teixeira e Manuel Botelho de Oliveira","Padre Antonio Vieira, Padre Manuel de Melo e Gregorio de Matos","Castro Alves, Bento Teixeira e Manuel Botelho de Oliveira","Alvares de Azevedo, Gregorio de Matos e Bento Teixeira",linguagens,a
Quais as duas datas que sao comemoradas em novembro?,Proclamação da República e Dia Nacional da Consciência Negra,Independência do Brasil e Dia da Bandeira,Dia do Medico e Dia de Sao Lucas,Dia de Finados e Dia Nacional do Livro,Black Friday e Dia da Arvore,humanas,b
"Quem pintou ""Guernica""?",Pablo Picasso,Paul Cezanne,Diego Rivera,Tarsila do Amaral,Salvador Dali,linguagens,b
Quanto tempo a luz do Sol demora para chegar a Terra?,1 dia,12 minutos,12 horas,8 minutos,segundos,natureza,d
Qual a traducao da frase “Fabiano cogio su saco antes de salir”?,Fabiano fechou o saco antes de sair,Fabiano coseu seu paleto antes de sair,Fabiano pegou seu paletó antes de sair,Fabiano cortou o saco antes de cair,Fabiano rasgou seu paleto antes de cair,linguagens,c
Qual a nacionalidade de Che Guevara?,Peruana,Cubana,Panamenha,Boliviana,Argentina,humanas,e
Qual a altura da rede de volei nos jogos masculino e feminino?,"2,5 m e 2,0 m","2,4 para ambos","1,8 m e 1,5 m","2,45 m e 2,15 m","2,43 m e 2,24 m",linguagens,e
Em que ordem surgiram os modelos atomicos?,"Rutherford-Bohr, Rutherford, Thomson, Dalton","Thomson, Dalton, Rutherford, Rutherford-Bohr","Dalton, Rutherford-Bohr, Thomson, Rutherford","Dalton, Thomson, Rutherford-Bohr, Rutherford","Dalton, Thomson, Rutherford, Rutherford-Bohr",natureza,e
Qual personagem folclorico costuma ser agradado pelos cacadores com a oferta de fumo?,Saci,Caipora,Lobisomem,Boitata,Negrinho do Pastoreiro,linguagens,a
Em que periodo da pré-historia o fogo foi descoberto?,Paleolítico,Neolítico,Idade dos Metais,Periodo da Pedra Polida,Idade Media,humanas,b
Qual das alternativas abaixo apenas contem classes de palavras?,"Artigo, verbo transitivo e verbo intransitivo","Vogais, semivogais e consoantes","Fonologia, Morfologia e Sintaxe","Hiatos, ditongos e tritongos","Substantivo, verbo e preposição",linguagens,e
Qual a montanha mais alta do Brasil?,Pico Parana,Pico da Neblina,Monte Roraima,Pico Maior de Friburgo,Pico da Bandeira,humanas,a
Qual a velocidade da luz?,150 000 000 metros por segundo (m/s),300 000 000 metros por segundo (m/s),199 792 458 metros por segundo (m/s),299 792 458 metros por segundo (m/s),30 000 000 metros por segundo (m/s),natureza,d
Em qual local da Asia o portugues eh lingua oficial?,Filipinas,India,Mocambique,Macau,Portugal,humanas,d
It is six twenty or twenty past six. Que horas sao em ingles?,06:20,12:06,02:20,06:02,12:20,linguagens,b
Quem eh o autor de “O Principe”?,Antoine de Saint-Exupery,Maquiavel,Montesquieu,Thomas Hobbes,Rousseau,humanas,a
Como eh a conjugacao do verbo caber na 1a pessoa do singular do presente do indicativo?,Ele cabe,Eu caibo,Que eu caiba,Eu cabo,Nenhuma das alternativas,linguagens,a
Quais destas construcoes famosas ficam nos Estados Unidos?,"Estatua da Liberdade, Big Ben e The High Line","Estatua da Liberdade, Golden Gate Bridge e Empire State Building","Angkor Wat, Taj Mahal e Skywalk no Grand Canyon","Lincoln Memorial, Sidney Opera House e Burj Khalifa","30 St Mary Axe, The High Line e Residencial 148 Spruce Street",humanas,a
Quais destas doencas sao sexualmente transmissiveis?,"Chikungunya, aids e herpes genital","Aids, tricomoniase e ebola","Gonorreia, clamidia e sifilis","Botulismo, cistite e gonorreia","Hepatite B, febre tifoide e hanseniase",natureza,c
Qual destes paises e transcontinental?,Filipinas,Russia,Istambul,Groelandia,Tazania,humanas,a
Em qual das oracaes abaixo a palavra foi empregada incorretamente?,Eh um homem mal.,"Mais uma vez, portou-se mal.",Esse e o mal de todos.,"Mal falou nele, o fulano apareceu.",Eh um mau vendedor.,linguagens,b
Qual foi o recurso utilizado inicialmente pelo homem para explicar a origem das coisas?,Biologia,Filosofia,Matematica,Astronomia,Mitologia,humanas,e
Qual das alternativas menciona apenas simbolos nacionais?,"Bandeira nacional, armas nacionais, hino nacional e selo nacional","Bandeira insignia da presidencia, bandeira nacional, brasao, hinos e selo","Bandeira nacional, brasao, hino nacional e hino da independencia","Bandeira nacional, cores nacionais, hino nacional e hino da independencia","Bandeira insignia da presidência, brasao flora e fauna e hinos",humanas,b
Quais os planetas do sistema solar?,"Jupiter, Marte, Mercurio, Netuno, Plutao, Saturno, Terra, Urano, Venus","Mercurio, Venus, Terra, Marte, Jupiter","Venus, Saturno, Urano, Jupiter, Marte, Netuno, Mercurio","Jupiter, Marte, Mercurio, Netuno, Plutao, Saturno, Sol, Terra, Urano, Venus","Terra, Venus, Saturno, Jupiter, Marte, Netuno, Mercurio",natureza,a
Qual era o nome de Aleijadinho?,Manuel Francisco Lisboa,Alexandrino Francisco Lisboa,Alex Francisco Lisboa,Francisco Antonio Lisboa,Antonio Francisco Lisboa,humanas,e
Jupiter e Plutao sao os correlatos romanos de quais deuses gregos?,Cronos e Apolo,Ares e Hermes,Zeus e Hades,Dionisio e Demeter,Zeus e Ares,humanas,c
Qual o maior animal terrestre?,Dinossauro,Baleia Azul,Elefante africano,Tubarao Branco,Girafa,natureza,c
"Qual o tema do famoso discurso Eu Tenho um Sonho, de Martin Luther King?",Justica para os menos favorecidos,Igualdade das raças,Intolerancia religiosa,Premio Nobel da Paz,Luta contra o Apartheid,humanas,a
Que lider mundial ficou conhecida como “Dama de Ferro”?,Angela Merkel,Dilma Rousseff,Margaret Thatcher,Hillary Clinton,Christine Lagarde,humanas,c
Quais os nomes dos tres Reis Magos?,"Belchior, Gaspar e Baltazar","Gaspar, Nicolau e Natanael","Belchior, Gaspar e Nataniel","Gabriel, Benjamim e Melchior","Melchior, Noe e Galileu",humanas,b
Quais os principais heteronimos de Fernando Pessoa?,"Ariano Suassuna, Raul Bopp e Quincas Borba","Alberto Caeiro, Ricardo Reis e Alvaro de Campos","Bento Teixeira, Ricardo Reis e Haroldo de Campos","Alberto Caeiro, Ricardo Leite e Augusto de Campos"," Bento Teixeira, Ricardo Reis e Augusto de Campos",linguagens,a
Qual a religiao monoteista que conta com o maior numero de adeptos no mundo?,Zoroastrismo,Judaismo,Islamismo,Cristianismo,Hinduismo,humanas,d
Qual desses filmes foi baseado na obra de Shakespeare?,Capitães de Areia ,Muito Barulho por Nada,A Dama das Camélias,A Revolução dos Bichos,Excalibur,linguagens,a
Quem foi o primeiro homem a pisar na Lua? Em que ano aconteceu?,"Buzz Aldrin, em 1969","Yuri Gagarin, em 1961","Charles Conrad, em 1969","Charles Duke, em 1971","Neils Armstrong, em 1969.",humanas,e
Qual o nome do cientista que descobriu o processo de pasteurizacao e a vacina contra a raiva?,Marie Curie,Blaise Pascal,Louis Pasteurs,Antoine Lavoisier,Charles Darwin,natureza,c
As pessoas de qual tipo sanguineo sao consideradas doadores universais?,A,AB,O,ABO,C,natureza,c